Emotion	Name	Artist
Sadness	sangue do meu sangue	Salvador Sobral
Sadness	DEATH	Melanie Martinez
Sadness	Used to Be	Weyes Blood
Sadness	Balada Da Despedida Do 5º Ano Jurídico 88/89	Grupo de Fados Coimbra _ Toada Coimbrã
Sadness	To Build A Home	The Cinematic Orchestra
Sadness	She Wants	Metronomy
Sadness	Hope There's Someone	Antony and the Johnsons
Sadness	Visions of Gideon	Various Artists
Sadness	Young And Beautiful	Lana Del Rey
Sadness	Moving On	Kodaline
Tenderness	Guarda-me Esta Noite	Valter Lobo
Tenderness	Hoppípolla - Live	Sigur Rós
Tenderness	Better Together	Jack Johnson
Tenderness	Hoppípolla	Sigur Rós
Tenderness	Just Breathe	Pearl Jam
Tenderness	"Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")"	John Williams
Tenderness	Sun & Moon	Two Steps from Hell
Tenderness	Winter Bear	V
Tenderness	Kiss Me	Sixpence None The Richer
Tenderness	Waste	Rhye
Tenderness	Ocean of Tears	Caroline Polachek
Tenderness	A Fleeting Dream	SQUARE ENIX MUSIC
Tenderness	Flamingo	Michel Petrucciani
Tenderness	As	Becca Stevens
Tenderness	I Want to Write You a Song	One Direction
Tenderness	Só Tinha De Ser Com Você	Elis Regina
Tenderness	What A Difference A Day Made	Jamie Cullum
Tenderness	All Smiles	Jess Penner
Tenderness	BB (Garupa de Moto Amarela)	Tim Bernardes
Tenderness	Seaside	The Kooks
Tenderness	Wind Of Change	Scorpions
Tenderness	Ténpu Ki Bai	Mayra Andrade
Tenderness	Canto Do Povo De Um Lugar - Remixed Original Album	Caetano Veloso
Tenderness	Un Vestido Y Un Amor	Caetano Veloso
Tenderness	Dead Hearts	Stars
Tenderness	I Will Follow You into the Dark	Death Cab for Cutie
Tenderness	Vagalumes	POLLO
Tenderness	"Careful (From The Original Motion Picture ""Magic Mike's Last Dance"")"	Lucky Daye
Tenderness	Toxic	Yael Naim
Tenderness	World Spins Madly On	The Weepies
Tenderness	Here I Go Again - 1987 Version; 2017 Remaster	Whitesnake
Tenderness	Don't Watch Me Cry	Jorja Smith
Tenderness	Jigsaw Falling Into Place	Radiohead
Tenderness	Magic	Coldplay
Tenderness	Gotten (feat. Adam Levine)	Slash
Tenderness	Wonderful Tonight	Eric Clapton
Tenderness	Valentine	Laufey
Tenderness	Stay Ready (What A Life)	Jhené Aiko
Tenderness	Love Of My Life - Remastered 2011	Queen
Tenderness	Ballerina	Yehezkel Raz
Tension	Angel	Sarah McLachlan
Tension	The Imitation Game	Alexandre Desplat
Tension	No Time To Die	Billie Eilish
Tension	Canción Sin Miedo	Vivir Quintana
Tension	Succession (Main Title Theme) - Extended Intro Version	Nicholas Britell
Tension	Fuck Authority	Pennywise
Tension	Not Afraid	Eminem
Tension	Intro: Never Mind	BTS
Tension	Time - 2011 Remastered Version	Pink Floyd
Tension	All Eyes On Me	Bo Burnham
Tension	Time	Hans Zimmer
Tension	"Roman's Beat - ""Hearts"""	Nicholas Britell
Tension	Ouvi Dizer	Ornatos Violeta
Tension	The Poet's Death	Mazgani
Tension	Everything In Its Right Place	Radiohead
Tension	Another Brick In The Wall - 2001 Remastered Version	Pink Floyd
Tension	Non, je ne regrette rien	Édith Piaf
Tension	Numb	Linkin Park
Tension	abcdefu	GAYLE
Tension	Psyco - From the Movie Psyco	Blackround Philharmonic Orchestra
Tension	The Phantom of the Opera - Single Album Version	Andrew Lloyd Webber
Tension	MILK OF THE SIREN	Melanie Martinez
Tension	Ligeti: Requiem: II. Kyrie. Molto espressivo	György Ligeti
Tension	Hope There's Someone	Antony and the Johnsons
Tension	Please Don't	Graveyard
Tension	Hustle Bones	Death Grips
Tension	Nem Deus nem senhor	José Mário Branco
Tension	Bunsen Burner	Ben Salisbury
Tension	The Turing Test	Ben Salisbury
Tension	Coward	Hans Zimmer
Tension	Gekko	Various Artists
Tension	Como Um Sonho Acordado	Fausto
Tension	Os Vampiros	José Afonso
Tension	The End	The Doors
Tension	Painkiller	Judas Priest
